,Volume,Centroid,Sphericity (axes),Image size,Total image volume,Total object volume (pixels),Filling ratio,Number objects
0,294,"(1.370748299319728, 37.01360544217687, 92.22108843537416)",0.7215516698890356,"(64, 128, 153)",1253376,17318,0.013817082822712419,151
1,21,"(0.38095238095238093, 43.95238095238095, 119.66666666666667)",0.8973225916472436,,,,,
2,511,"(3.8610567514677103, 46.80821917808219, 107.53816046966732)",0.7851658160859704,,,,,
3,27,"(0.7407407407407407, 58.148148148148145, 111.18518518518519)",0.9506300021235237,,,,,
4,167,"(2.502994011976048, 61.09580838323353, 96.18562874251496)",0.7322845615851147,,,,,
5,65,"(0.4153846153846154, 66.53846153846153, 107.27692307692308)",0.4950190390977554,,,,,
6,55,"(0.6181818181818182, 75.56363636363636, 83.0)",0.81706172489232,,,,,
7,23,"(0.34782608695652173, 79.0, 96.6086956521739)",0.8734728751955931,,,,,
8,35,"(0.37142857142857144, 83.91428571428571, 102.22857142857143)",0.7795420975507407,,,,,
9,44,"(0.3181818181818182, 98.06818181818181, 100.36363636363636)",0.6466795386023648,,,,,
10,92,"(1.108695652173913, 98.65217391304348, 78.23913043478261)",0.8413643503561903,,,,,
11,116,"(2.956896551724138, 24.0, 106.61206896551724)",0.8553487630565347,,,,,
12,59,"(2.6610169491525424, 87.22033898305085, 119.16949152542372)",0.9790789065555896,,,,,
13,130,"(4.523076923076923, 83.87692307692308, 56.292307692307695)",0.8442573043907046,,,,,
14,99,"(4.414141414141414, 82.43434343434343, 74.20202020202021)",0.8323251993652235,,,,,
15,31,"(4.096774193548387, 98.03225806451613, 119.48387096774194)",0.9723361937402338,,,,,
16,92,"(5.565217391304348, 25.304347826086957, 116.02173913043478)",0.8808921694670887,,,,,
17,102,"(6.284313725490196, 101.13725490196079, 48.372549019607845)",0.8814611221537372,,,,,
18,21,"(5.904761904761905, 17.571428571428573, 119.52380952380952)",0.9371637792011013,,,,,
19,116,"(7.379310344827586, 102.95689655172414, 80.66379310344827)",0.847918425796913,,,,,
20,73,"(7.657534246575342, 38.465753424657535, 114.10958904109589)",0.8833976437001103,,,,,
21,182,"(12.785714285714286, 56.1978021978022, 116.4010989010989)",0.7340247998742584,,,,,
22,141,"(8.97163120567376, 68.06382978723404, 84.31914893617021)",0.8074769814197487,,,,,
23,79,"(7.3544303797468356, 71.88607594936708, 97.55696202531645)",0.8978732119782546,,,,,
24,79,"(7.506329113924051, 92.40506329113924, 110.41772151898734)",0.8779426921191387,,,,,
25,160,"(8.15625, 101.43125, 96.53125)",0.773570300384509,,,,,
26,77,"(8.61038961038961, 95.05194805194805, 99.41558441558442)",0.9214307475286598,,,,,
27,51,"(9.823529411764707, 21.274509803921568, 97.98039215686275)",0.9404252242968373,,,,,
28,112,"(10.008928571428571, 47.392857142857146, 80.92857142857143)",0.866130117673593,,,,,
29,68,"(9.147058823529411, 57.470588235294116, 82.23529411764706)",0.8777021875518511,,,,,
30,147,"(10.129251700680273, 57.30612244897959, 97.58503401360544)",0.7662962993870954,,,,,
31,96,"(10.34375, 30.0625, 116.89583333333333)",0.867703223437928,,,,,
32,121,"(11.272727272727273, 80.0495867768595, 88.66115702479338)",0.8352206169207925,,,,,
33,138,"(10.869565217391305, 84.02898550724638, 69.34782608695652)",0.6355464470916001,,,,,
34,87,"(12.862068965517242, 63.13793103448276, 110.05747126436782)",0.8142617716354924,,,,,
35,59,"(12.728813559322035, 72.62711864406779, 78.94915254237289)",0.9113328720975529,,,,,
36,137,"(13.927007299270073, 91.5912408759124, 83.57664233576642)",0.7794703448427163,,,,,
37,48,"(12.395833333333334, 88.97916666666667, 103.77083333333333)",0.8691193876008146,,,,,
38,232,"(14.547413793103448, 106.19827586206897, 82.79310344827586)",0.6944637855369648,,,,,
39,129,"(15.395348837209303, 37.27131782945737, 111.82945736434108)",0.7425789593667,,,,,
40,168,"(14.553571428571429, 53.107142857142854, 93.64285714285714)",0.7341472880992693,,,,,
41,89,"(13.719101123595506, 68.46067415730337, 98.23595505617978)",0.8966408200028797,,,,,
42,71,"(14.028169014084508, 103.4225352112676, 106.29577464788733)",0.8712484117926729,,,,,
