,Volume,Centroid,Sphericity (axes),Image size,Total image volume,Total object volume (pixels),Filling ratio,Number objects
0,28,"(0.5, 14.964285714285714, 115.21428571428571)",0.6146311178139404,"(64, 128, 153)",1253376,11891,0.009487177032271242,117
1,86,"(3.302325581395349, 31.546511627906977, 116.11627906976744)",0.6565076738333522,,,,,
2,119,"(1.7983193277310925, 42.80672268907563, 117.36974789915966)",0.7022908564714365,,,,,
3,41,"(1.4878048780487805, 38.853658536585364, 109.8048780487805)",0.7983118321417345,,,,,
4,36,"(1.7222222222222223, 49.25, 112.97222222222223)",0.8570915649230441,,,,,
5,228,"(1.5350877192982457, 52.276315789473685, 43.33771929824562)",0.6635373505121925,,,,,
6,62,"(1.6129032258064515, 57.306451612903224, 118.90322580645162)",0.7490411866971284,,,,,
7,101,"(2.118811881188119, 61.48514851485149, 44.504950495049506)",0.8781711034689408,,,,,
8,98,"(1.2551020408163265, 81.29591836734694, 48.62244897959184)",0.8645579931202321,,,,,
9,115,"(2.3391304347826085, 85.66956521739131, 117.9304347826087)",0.843819940115998,,,,,
10,100,"(1.47, 89.56, 68.62)",0.8260929309102014,,,,,
11,25,"(0.6, 94.0, 94.28)",0.9381059680412117,,,,,
12,20,"(0.2, 102.1, 62.9)",0.739626456023599,,,,,
13,77,"(4.311688311688312, 15.181818181818182, 35.285714285714285)",0.897539813145301,,,,,
14,106,"(4.660377358490566, 78.52830188679245, 36.056603773584904)",0.8617973686972717,,,,,
15,92,"(5.010869565217392, 68.03260869565217, 50.28260869565217)",0.7611147921643513,,,,,
16,97,"(5.072164948453608, 107.4020618556701, 53.28865979381443)",0.8635139566116727,,,,,
17,23,"(6.956521739130435, 91.95652173913044, 115.34782608695652)",0.9006518765522855,,,,,
18,40,"(7.15, 108.425, 115.15)",0.9321336751734616,,,,,
19,117,"(8.427350427350428, 41.05128205128205, 45.36752136752137)",0.8306131876008958,,,,,
20,122,"(9.114754098360656, 54.07377049180328, 47.549180327868854)",0.8941182956786972,,,,,
21,33,"(9.393939393939394, 55.36363636363637, 116.24242424242425)",0.8076376468190279,,,,,
22,73,"(10.246575342465754, 56.23287671232877, 73.31506849315069)",0.8893055122524398,,,,,
23,77,"(10.181818181818182, 70.66233766233766, 112.46753246753246)",0.9165168203177217,,,,,
24,263,"(11.102661596958175, 96.02281368821293, 51.136882129277566)",0.6001660455043246,,,,,
25,22,"(10.045454545454545, 18.40909090909091, 42.95454545454545)",0.9203151962285361,,,,,
26,136,"(11.345588235294118, 24.5, 69.3970588235294)",0.8214124884785984,,,,,
27,151,"(11.04635761589404, 70.50993377483444, 50.00662251655629)",0.6264514072670838,,,,,
28,116,"(11.482758620689655, 29.439655172413794, 41.28448275862069)",0.8311972646414852,,,,,
29,118,"(11.584745762711865, 61.46610169491525, 63.432203389830505)",0.8504587700091666,,,,,
30,39,"(10.692307692307692, 79.46153846153847, 42.256410256410255)",0.9001134522912314,,,,,
31,133,"(12.593984962406015, 63.35338345864662, 49.984962406015036)",0.8243058233267393,,,,,
32,63,"(14.777777777777779, 16.428571428571427, 118.22222222222223)",0.9231868433293517,,,,,
33,219,"(16.26027397260274, 51.61643835616438, 51.52054794520548)",0.6833361003125501,,,,,
